tot_trajectories,return,normalized_auc
1425,99.3429516957585,76.98750601173377
1450,97.13928656466166,77.35394761722475
1475,97.03524863678233,77.6884106677925
1500,97.01347473998146,78.01067651813565
1525,96.43556186235176,78.31746080966076
1550,99.3429516957585,78.63313493819938
1575,99.21408539372734,78.96083943989053
1600,94.00457833616247,79.23659713403202
1625,99.3429516957585,79.50486125529245
1650,96.59236344872753,79.78460059342807
1675,96.69386357026342,80.03622018919027
1700,97.56792264677631,80.28761243800395
1725,96.96103486471216,80.53365397884077
1750,99.2593295225372,80.78474723905197
1775,97.61395308808218,81.0333654653373
1800,98.63878520577683,81.2707682942483
1825,98.0990179057272,81.50498929783055
1850,98.46352049062041,81.73169578297032
1875,99.25050884022002,81.96003336806965
1900,99.3429516957585,82.18814780096332
1925,99.3429516957585,82.41093746193468
1950,99.3429516957585,82.62801456749652
1975,99.3429516957585,82.83959605013276
2000,99.3429516957585,83.04588799570307
2025,99.3429516957585,83.2470863129877
2050,99.3429516957585,83.44337735424101
2075,99.3429516957585,83.6349384908858
2100,99.3429516957585,83.82193864808666
2125,99.3429516957585,84.00453880158868
2150,99.3429516957585,84.18289243989298
2175,99.3429516957585,84.3571459945581
2200,99.3429516957585,84.52743924116265
2225,99.3429516957585,84.69390567323676
2250,99.3429516957585,84.85667285126478
2275,99.3429516957585,85.0158627286768
2300,99.3429516957585,85.17159195657985
2325,99.3429516957585,85.32397216882909
2350,99.3429516957585,85.4731102489028
2375,99.3429516957585,85.61910857992233
2400,99.3429516957585,85.76206527904563
2425,99.3429516957585,85.90207441736226
2450,99.3429516957585,86.03922622632548
2475,99.3429516957585,86.17360729167328
2500,99.3429516957585,86.30530073571414
2525,99.3429516957585,86.43438638878388
2550,99.3429516957585,86.56094095061697
2575,99.3429516957585,86.68503814231737
2600,99.3429516957585,86.80674884956198
2625,99.3429516957585,86.926141257621
2650,99.3429516957585,87.04328097873551
2675,99.3429516957585,87.15823117235254
2700,99.3429516957585,87.27105265868038
2725,99.3429516957585,87.38180402599302
2750,99.3429516957585,87.4905417320818
2775,99.3429516957585,87.59732020022302
2800,99.3429516957585,87.70219191000459
2825,99.3429516957585,87.80520748332985
2850,99.3429516957585,87.906415765895
2875,99.3429516957585,88.00586390441556
2900,99.3429516957585,88.10359741985818
2925,99.3429516957585,88.19966027691714
2950,99.3429516957585,88.29409494995818
2975,99.3429516957585,88.38694248563718
3000,99.3429516957585,88.47824256238819
3025,99.3429516957585,88.56803354696149
3050,99.3429516957585,88.65635254818115
3075,99.3429516957585,88.74323546808014
3100,99.3429516957585,88.82871705056142
3125,99.3429516957585,88.912830927723
3150,99.3429516957585,88.99560966397725
3175,99.3429516957585,89.07708479808575
3200,99.3429516957585,89.15728688322382
3225,99.3429516957585,89.23624552518146
3250,99.3429516957585,89.31398941880128
3275,99.3429516957585,89.39054638274752
3300,99.3429516957585,89.46594339269457
3325,99.3429516957585,89.54020661301836
3350,99.3429516957585,89.61336142706865
3375,99.3429516957585,89.68543246609599
3400,99.3429516957585,89.75644363690233
3425,99.3429516957585,89.82641814828084
3450,99.3429516957585,89.89537853630604
3475,99.3429516957585,89.96334668853231
3500,99.3429516957585,90.03034386715535
3525,99.3429516957585,90.09639073118801
3550,99.3429516957585,90.16150735769907
3575,99.3429516957585,90.22571326216101
3600,99.3429516957585,90.28902741794988
3625,99.3429516957585,90.35146827503821
3650,99.3429516957585,90.41305377791987
3675,99.3429516957585,90.47380138280312
3700,99.3429516957585,90.53372807410688
3725,99.3429516957585,90.59285038029245
3750,99.3429516957585,90.65118438906222
3775,99.3429516957585,90.70874576195425
3800,99.3429516957585,90.76554974836085
3825,99.3429516957585,90.82161119899745
3850,99.3429516957585,90.87694457884655
3875,99.3429516957585,90.93156397960081
3900,99.3429516957585,90.98548313162746
3925,99.3429516957585,91.03871541547544
3950,99.3429516957585,91.09127387294558
3975,99.3429516957585,91.14317121774315
4000,99.3429516957585,91.19441984573074
4025,99.3429516957585,91.24503184479923
4050,99.3429516957585,91.29501900437305
4075,99.3429516957585,91.3443928245656
4100,99.3429516957585,91.3931645249997
4125,99.3429516957585,91.44134505330733
4150,99.3429516957585,91.4889450933221
4175,99.3429516957585,91.53597507297741
4200,99.3429516957585,91.58244517192253
4225,99.3429516957585,91.6283653288683
4250,99.3429516957585,91.67374524867354
4275,99.3429516957585,91.71859440918281
4300,99.3429516957585,91.76292206782568
4325,99.3429516957585,91.80673726798715
4350,99.3429516957585,91.85004884515824
4375,99.3429516957585,91.89286543287596
4400,99.3429516957585,91.93519546846052
4425,99.3429516957585,91.97704719855825
4450,99.3429516957585,92.01842868449758
4475,99.3429516957585,92.05934780746551
4500,99.3429516957585,92.09981227351159
4525,99.3429516957585,92.13982961838587
4550,99.3429516957585,92.1794072122176
4575,99.3429516957585,92.21855226404023
4600,99.3429516957585,92.25727182616913
4625,99.3429516957585,92.29557279843718
4650,99.3429516957585,92.33346193229374
4675,99.3429516957585,92.37094583477216
4700,99.3429516957585,92.4080309723306
4725,99.3429516957585,92.44472367457095
4750,99.3429516957585,92.48103013784036
4775,99.3429516957585,92.51695642871951
4800,99.3429516957585,92.55250848740201
4825,99.3429516957585,92.58769213096862
4850,99.3429516957585,92.62251305656032
4875,99.3429516957585,92.65697684445365
4900,99.3429516957585,92.69108896104194
4925,99.3429516957585,92.72485476172578
4950,99.3429516957585,92.75827949371585
4975,99.3429516957585,92.79136829875122
5000,99.3429516957585,92.82412621573627
